season,team_abbr,gsis_id,reference_basis,source_as_of
2026,DET,00-0033106,preseason_snapshot,2026-09-01T12:20:07Z
2026,GB,00-0036264,preseason_snapshot,2026-09-01T12:20:07Z
2026,HOU,00-0039163,preseason_snapshot,2026-09-01T12:20:07Z
2026,IND,00-0035710,preseason_snapshot,2026-09-01T12:20:07Z
2026,JAX,00-0036971,preseason_snapshot,2026-09-01T12:20:07Z
2026,KC,00-0033873,preseason_snapshot,2026-09-01T12:20:07Z
2026,LA,00-0026498,preseason_snapshot,2026-09-01T12:20:07Z
2026,LAC,00-0036355,preseason_snapshot,2026-09-01T12:20:07Z
2026,LV,00-0029604,preseason_snapshot,2026-09-01T12:20:07Z
2026,MIA,00-0038128,preseason_snapshot,2026-09-01T12:20:07Z
2026,MIN,00-0035228,preseason_snapshot,2026-09-01T12:20:07Z
2026,NE,00-0039851,preseason_snapshot,2026-09-01T12:20:07Z
2026,NO,00-0040743,preseason_snapshot,2026-09-01T12:20:07Z
2026,NYG,00-0040691,preseason_snapshot,2026-09-01T12:20:07Z
2026,NYJ,00-0030565,preseason_snapshot,2026-09-01T12:20:07Z
2026,PHI,00-0036389,preseason_snapshot,2026-09-01T12:20:07Z
2026,PIT,00-0023459,preseason_snapshot,2026-09-01T12:20:07Z
2026,SEA,00-0034869,preseason_snapshot,2026-09-01T12:20:07Z
2026,SF,00-0037834,preseason_snapshot,2026-09-01T12:20:07Z
2026,TB,00-0034855,preseason_snapshot,2026-09-01T12:20:07Z
2026,TEN,00-0040676,preseason_snapshot,2026-09-01T12:20:07Z
2026,WAS,00-0039910,preseason_snapshot,2026-09-01T12:20:07Z
